STT,Nhóm tương tác,Thuốc 1,Thuốc 2,Mức độ,Cơ chế,Hậu quả,Xử trí,Nguồn
1,Dược lực học,Aceclofenac,Ketorolac,Chống chỉ định,Hiệp đồng tác dụng kích ứng đường tiêu hóa,Tăng  nguy  cơ  xuất huyết tiêu hóa nghiêm trọng  (sử dụng đồng thời ketorolac với 1 NSAID khác làm tăng nguy cơ xuất huyết tiêu hóa gấp 5 lần so với phối hợp 2 NSAID khác),Chống chỉ định phối hợp. Cần đặc biệt lưu ý nguy cơ tương tác trong trường hợp giảm đau hậu phẫu.,Quyết định 5948/BYT
2,Dược động học,Acenocoumarol,Tamoxifen,Chống chỉ định có điều kiện,Tamoxifen ức chế CYP2C9 làm giảm  chuyển  hóa của acenocoumarol,Tăng  nguy cơ xuất huyết,"1. Chống chỉ định phối hợp ở bệnh nhân sử dụng tamoxifen dự phòng tiên phát ung thư vú.
2.  Ở  bệnh  nhân  ung  thư  vú, nên cân nhắc sử dụng heparin trọng   lượng   phân   tử   thấp (LMWH) hoặc các thuốc chống  đông đường uống tác động trực tiếp  (DOAC)  thay thế  cho  warfarin  để  điều  trị thuyên tắc tĩnh mạch do huyết khối.  Trong  trường  hợp  bắt buộc    sử    dụng    đồng    thời tamoxifen  với warfarin,  cần giảm 1/2 đến 2/3 liều warfarin và  theo dõi chặt chẽ bệnh nhân.",Quyết định 5948/BYT
3,Dược lực học,Acid mefenamic,Ketorolac,Chống chỉ định,Hiệp    đồng    tác dụng    kích    ứng đường tiêu hóa,Tăng  nguy  cơ  xuất huyết tiêu hóa nghiêm   trọng   (sử dụng đồng     thời ketorolac với 1 NSAID khác   làm tăng  nguy  cơ  xuất huyết tiêu hóa gấp 5 lần so với phối hợp 2 NSAID khác),Chống chỉ định phối hợp. Cần đặc biệt lưu ý nguy cơ tương tác trong trường hợp giảm đau hậu phẫu.,Quyết định 5948/BYT
4,Dược lực học,Acid tranexamic,Ethinyl estradiol,Chống chỉ định có điều kiện,Nguy cơ huyết khối  khi  sử  dụng ethinyl estradiol tăng  lên  khi  phối hợp với acid tranexamic,Tăng  nguy  cơ  biến cố huyết khối,"1.  Chống  chỉ  định  sử  dụng acid tranexamic điều trị rong kinh ở bệnh nhân đang  dùng thuốc  tránh  thai  chứa  ethinyl estradiol.
2. Với các chỉ định khác của acid   tranexamic,   có   thể   sử dung ở người đang dùng thuốc tránh thai nhưng cần đặc biệt thận trọng. Lưu ý các yếu tố tăng nguy cơ: béo phì, hút thuốc lá, đặc biệt ở người trên 35 tuổi.",Quyết định 5948/BYT
5,Dược lực học,Acid tranexamic,Estradiol valerat,Chống chỉ định có điều kiện,Nguy    cơ    huyết khối  khi  sử  dụng estradiol    valerat tăng  lên  khi  phối hợp     với     acid tranexamic,Tăng nguy cơ biến cố huyết khối,"1.  Chống  chỉ  định  sử  dụng acid tranexamic điều trị rong kinh ở bệnh nhân đang  dùng thuốc tránh thai chứa estradiol valerat.
2. Với các chỉ định khác của acid   tranexamic,   có   thể   sử dung ở người đang dùng thuốc tránh thai nhưng cần đặc biệt thận trọng.
Lưu ý các yếu tố tăng nguy cơ: béo phì, hút thuốc lá, đặc biệt ở người trên 35 tuổi.",Quyết định 5948/BYT
6,Dược lực học,Acid tranexamic,Estriol,Chống chỉ định có điều kiện,Nguy cơ huyết khối  khi  sử  dụng estriol tăng lên khi  phối  hợp  với acid tranexamic,Tăng nguy cơ biến cố huyết khối,"1.  Chống  chỉ  định  sử  dụng acid tranexamic điều trị rong kinh ở bệnh nhân đang  dùng thuốc  tránh  thai  chứa  estriol.
2. Với các chỉ định khác của acid   tranexamic,   có   thể   sử dung ở người đang dùng thuốc tránh thai nhưng cần đặc biệt thận trọng.
Lưu ý các yếu tố tăng nguy cơ: béo phì, hút thuốc lá, đặc biệt ở người trên 35 tuổi.",Quyết định 5948/BYT
7,Dược lực học,Acid tranexamic,Clormadino n,Chống chỉ định có điều kiện,Nguy    cơ    huyết khối  khi  sử  dụng clormadinon  tăng lên  khi  phối  hợp với acid tranexamic,Tăng nguy cơ biến cố huyết khối,"1.  Chống  chỉ  định  sử  dụng acid tranexamic điều trị rong kinh ở bệnh nhân đang  dùng thuốc      tránh      thai      chứa clormadinon.
2. Với các chỉ định khác của acid   tranexamic,   có   thể   sử dung ở người đang dùng thuốc tránh thai nhưng cần đặc biệt thận                                trọng.
Lưu ý các yếu tố tăng nguy cơ: béo phì, hút thuốc lá, đặc biệt ở người trên 35 tuổi.",Quyết định 5948/BYT
8,Dược lực học,Acid tranexamic,Desogestrel,Chống chỉ định có điều kiện,Nguy cơ huyết khối  khi  sử  dụng desogestrel tăng lên  khi  phối  hợp với acid tranexamic,Tăng nguy cơ biến cố huyết khối,"1.  Chống  chỉ  định  sử  dụng acid tranexamic điều trị rong kinh ở bệnh nhân đang  dùng thuốc      tránh      thai      chứa desogestrel.
2. Với các chỉ định khác của acid   tranexamic,   có   thể   sử dung ở người đang dùng thuốc tránh thai nhưng cần đặc biệt thận trọng.
Lưu ý các yếu tố tăng nguy cơ: béo phì, hút thuốc lá, đặc biệt ở người trên 35 tuổi.",Quyết định 5948/BYT
9,Dược lực học,Acid tranexamic,Dienogest,Chống chỉ định có điều kiện,,Tăng nguy cơ biến cố huyết khối,"1.  Chống  chỉ  định  sử  dụng acid tranexamic điều trị rong kinh ở bệnh nhân đang  dùng thuốc tránh thai chứa dienogest.
2. Với các chỉ định khác của acid tranexamic, có thể sử dung ở người đang dùng thuốc tránh thai nhưng cần đặc biệt thận trọng.
Lưu ý các yếu tố tăng nguy cơ: béo phì, hút thuốc lá, đặc biệt ở người trên 35 tuổi.",Quyết định 5948/BYT
10,Dược lực học,Acid tranexamic,Drospirenon,Chống chỉ định có điều kiện,"Nguy    cơ    huyết khối  khi  sử  dụng drospirenon   tăng lên  khi  phối  hợp với                 acid
tranexamic",Tăng nguy cơ biến cố huyết khối,"1.  Chống  chỉ  định  sử  dụng acid tranexamic điều trị rong kinh ở bệnh nhân đang  dùng thuốc      tránh      thai      chứa drospirenon.
2. Với các chỉ định khác của acid   tranexamic,   có   thể   sử dung ở người đang dùng thuốc tránh thai nhưng cần đặc biệt thận                                trọng.
Lưu ý các yếu tố tăng nguy cơ: béo phì, hút thuốc lá, đặc biệt ở người trên 35 tuổi.",Quyết định 5948/BYT
11,Dược lực học,Acid tranexamic,Etonogestrel,Chống chỉ định có điều kiện,Nguy cơ huyết khối  khi  sử  dụng etonogestrel  tăng lên  khi  phối  hợp với acid tranexamic,Tăng nguy cơ biến cố huyết khối,"1.  Chống  chỉ  định  sử  dụng acid tranexamic điều trị rong kinh ở bệnh nhân đang  dùng thuốc      tránh      thai      chứa etonogestrel.
2. Với các chỉ định khác của acid   tranexamic,   có   thể   sử dung ở người đang dùng thuốc tránh thai nhưng cần đặc biệt thận trọng.
Lưu ý các yếu tố tăng nguy cơ: béo phì, hút thuốc lá, đặc biệt ở người trên 35 tuổi.",Quyết định 5948/BYT
12,Dược lực học,Acid tranexamic,Gestoden,Chống chỉ định có điều kiện,Nguy    cơ    huyết khối  khi  sử  dụng gestoden tăng lên khi  phối  hợp  với acid tranexamic,Tăng nguy cơ biến cố huyết khối,"1.  Chống  chỉ  định  sử  dụng acid tranexamic điều trị rong kinh ở bệnh nhân đang  dùng thuốc tránh thai chứa gestoden.
2. Với các chỉ định khác của acid   tranexamic,   có   thể   sử dung ở người đang dùng thuốc tránh thai nhưng cần đặc biệt thận trọng.
Lưu ý các yếu tố tăng nguy cơ: béo phì, hút thuốc lá, đặc biệt ở người trên 35 tuổi.",Quyết định 5948/BYT
