row_index,biet_duoc,link_slot,url,file_id,status,http_status,local_path,file_size
1,SaVi Acarbose 50 mg [Acarbose],1,https://drive.google.com/file/d/1zeM4uSTKOGNfMvw0JSQJ-v01fl6_GPMu/view?usp=drive_link,1zeM4uSTKOGNfMvw0JSQJ-v01fl6_GPMu,ok,200,dataset\hdsd_raw\0001_SaVi_Acarbose_50_mg_Acarbose_1_1zeM4uSTKOGNfMvw0JSQJ-v01fl6_GPMu.pdf,1145433
2,Savi Acarbose 100 [100mg],1,https://drive.google.com/file/d/1hZpsMykb02umrOXIE20M9SLeQ6B0fLoF/view?usp=drive_link,1hZpsMykb02umrOXIE20M9SLeQ6B0fLoF,ok,200,dataset\hdsd_raw\0002_Savi_Acarbose_100_100mg_1_1hZpsMykb02umrOXIE20M9SLeQ6B0fLoF.pdf,845983
3,Vitamin 3B [125 Mg + 125 Mg + 125 Mcg],1,https://drive.google.com/file/d/1oB91GehdqRUPFbFaWDNWhLV05ovhPtrQ/view?usp=drive_link,1oB91GehdqRUPFbFaWDNWhLV05ovhPtrQ,bad_response:text/html,404,,0
4,Cavinton 10 Mg/2 Ml,1,https://drive.google.com/file/d/1IpKCsjuFZ9IvFgllm24h18HveqGsPG_w/view?usp=drive_link,1IpKCsjuFZ9IvFgllm24h18HveqGsPG_w,bad_response:text/html,404,,0
5,Grandaxin [Tofisopam 50mg],1,https://drive.google.com/file/d/1wYPuQGt3b0ITI1PNPm6Q7Gkqw_cqHFzP/view?usp=sharing,1wYPuQGt3b0ITI1PNPm6Q7Gkqw_cqHFzP,ok,200,dataset\hdsd_raw\0005_Grandaxin_Tofisopam_50mg_1_1wYPuQGt3b0ITI1PNPm6Q7Gkqw_cqHFzP.pdf,2857463
6,"Viticalat 1,6g [Ticarcillin + Acid Clavulanic]",1,https://drive.google.com/file/d/1ZUYnyoFNv8_wVS2UNILB1TJ23FGH9Twz/view?usp=drive_link,1ZUYnyoFNv8_wVS2UNILB1TJ23FGH9Twz,bad_response:text/html,404,,0
7,Sucralfat DWP 1000mg,1,https://drive.google.com/file/d/1qFdRkedCSwAcI2eDGNhfDn3o3YPzc3ct/view?usp=drive_link,1qFdRkedCSwAcI2eDGNhfDn3o3YPzc3ct,bad_response:text/html,404,,0
8,Tot'hema,1,https://drive.google.com/file/d/1rKufHQSBCHIGSKfyinhO09zn_SmcF-fW/view?usp=drive_link,1rKufHQSBCHIGSKfyinhO09zn_SmcF-fW,bad_response:text/html,404,,0
8,Tot'hema,2,https://drive.google.com/file/d/1tkiJZ9ma0ODMCGN8TaGviSM9YLpKiMS8/view?usp=sharing,1tkiJZ9ma0ODMCGN8TaGviSM9YLpKiMS8,ok,200,dataset\hdsd_raw\0008_Tot_hema_2_1tkiJZ9ma0ODMCGN8TaGviSM9YLpKiMS8.pdf,2847758
9,"Salbutamol Renaudin 5mg/5ml (0,1%)",1,https://drive.google.com/file/d/1vv_Ewx1oii5TBtT4c2tjB6WN7Am3-FUg/view?usp=drive_link,1vv_Ewx1oii5TBtT4c2tjB6WN7Am3-FUg,bad_response:text/html,404,,0
